"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C7,C8,C9,C10,C11,C12,C13,C16,C19,C21,C23,C27","13","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","47pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C4,C5","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6,C14,C18","3","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15","1","100Nf","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C20","1","470uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C22","1","1000uF","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~"
"C24,C25","2","33pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C26,C29","2","15pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C28,C30","2","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","1N4001","","","","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"D2,D3,D4,D5","4","WS2812B","","","","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf"
"D6","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","Input Power","","","","Connector_AMASS:AMASS_XT30PW-M_1x02_P2.50mm_Horizontal","~"
"J2","1","M1","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J3","1","M2","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J4","1","M3","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J5","1","M4","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J6","1","M5","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J7","1","M6","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J8","1","Micro_SD_Card","","","","lcsc:TF-SMD_TF-PUSH","https://www.we-online.com/components/products/datasheet/693072010801.pdf"
"J9","1","M7","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J10","1","M8","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J11","1","M9","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J12","1","M10","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J13","1","M11","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J14","1","M12","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J15","1","I2C4","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J16","1","Video In","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J17","1","Video Out","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J18","1","LED Strip","","","","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~"
"J19","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J20","1","UART2","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
"J21","1","UART7","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
"J22","1","UART5","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J23","1","UART8","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J24","1","GPIO","","","","Connector_JST:JST_XH_B10B-XH-A_1x10_P2.50mm_Vertical","~"
"J25","1","SWD","","","","Connector_JST:JST_XH_B6B-XH-A_1x06_P2.50mm_Vertical","~"
"J26","1","UART3","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"J27","1","UART4","","","","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"L1","1","6.8uH","","","","Inductor_SMD:L_APV_APH0630","~"
"R1,R4,R6,R9,R11,R12,R14,R20,R21","9","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","100K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R5,R7,R10","4","3.3K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R8","1","22K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R13","1","5.6K","","","","Resistor_SMD:R_0805_2012Metric","~"
"R15,R18,R19","3","75","","","","Resistor_SMD:R_0805_2012Metric","~"
"R16,R17","2","5.1K","","","","Resistor_SMD:R_0805_2012Metric","~"
"U1","1","TPS54302","","","","Package_TO_SOT_SMD:SOT-23-6","http://www.ti.com/lit/ds/symlink/tps54302.pdf"
"U2","1","BMP388","","","","Package_LGA:ST_HLGA-10_2x2mm_P0.5mm_LayoutBorder3x2y",""
"U3","1","QMC5883P","","","","Package_LGA:LGA-16_3x3mm_P0.5mm",""
"U4","1","STM32H743VITx","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h743vi.pdf"
"U5","1","AT7456E","","","","Package_SO:TSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.85x6.7mm","https://lcsc.com/product-detail/Analog-ICs_AT7456E_C82351.html"
"U6","1","ICM-42688-P","","","","Package_LGA:LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y",""
"Y1","1","27MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
"Y2","1","16MHz","","","","Crystal:Crystal_HC49-U_Vertical","~"
"Y3","1","32.768kHz","","","","Crystal:Crystal_DS26_D2.0mm_L6.0mm_Horizontal","~"
